id,type,X,Y,Z,u,v,w,nw,pw,mass,rho,energy,fx,fy,fz,sxx,syy,szz,sxy,sxz,syz,exx,eyy,ezz,exy,exz,eyz,nx,ny,nz,bc,young,poisson,phi,cohesion,psi,h_mod
25,1,0.05,2.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-30503.8,-51361.5,-30520,62.2833,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
26,1,0.05,2.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-29316.1,-49346.2,-29332,60.9542,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
27,1,0.05,2.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-28126.9,-47331,-28142.4,59.4365,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
28,1,0.05,2.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-26936.6,-45315.9,-26951.6,57.7371,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
29,1,0.05,2.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-25745.3,-43300.9,-25759.8,55.8601,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
30,1,0.05,2.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-24553.2,-41286,-24567.2,53.8071,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
31,1,0.05,3.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-23360.5,-39271.3,-23374,51.5826,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
32,1,0.05,3.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-22167.3,-37256.8,-22180.3,49.1942,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
33,1,0.05,3.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-20973.8,-35242.6,-20986.3,46.6582,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
34,1,0.05,3.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-19780,-33228.6,-19792,43.9953,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
35,1,0.05,3.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-18586,-31214.9,-18597.7,41.2325,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
36,1,0.05,3.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-17392,-29201.4,-17403.2,38.3894,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
37,1,0.05,3.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-16198,-27188.1,-16208.9,35.4987,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
38,1,0.05,3.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-15004.1,-25174.8,-15014.7,32.5667,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
39,1,0.05,3.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-13810.6,-23161.8,-13821,29.6427,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
40,1,0.05,3.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-12617.3,-21148.3,-12627.4,26.6942,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
41,1,0.05,4.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-11424.9,-19135.5,-11434.8,23.8089,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
42,1,0.05,4.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-10232.8,-17121.3,-10242.4,20.851,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
